location,date,hour,long,lat,hourly_lamax_avg
Calveriekapel,2022-01-25,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-25,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-25,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-25,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-25,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-25,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-25,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-25,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-25,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-25,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-25,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-25,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-25,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-25,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-25,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-25,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-25,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-25,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-25,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-25,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-25,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-26,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-26,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-26,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-26,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-26,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-26,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-26,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-26,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-26,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-26,9,4.6999168,50.8745267,53.8279545972949
Calveriekapel,2022-01-26,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-26,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-26,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-26,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-26,14,4.6999168,50.8745267,55.48593206511995
Calveriekapel,2022-01-26,15,4.6999168,50.8745267,55.82658652326632
Calveriekapel,2022-01-26,16,4.6999168,50.8745267,54.98270081907515
Calveriekapel,2022-01-26,17,4.6999168,50.8745267,55.766234383015714
Calveriekapel,2022-01-26,18,4.6999168,50.8745267,56.53077867411013
Calveriekapel,2022-01-26,19,4.6999168,50.8745267,55.9511133761957
Calveriekapel,2022-01-26,20,4.6999168,50.8745267,54.87426576340444
Calveriekapel,2022-01-26,21,4.6999168,50.8745267,52.91092612049132
Calveriekapel,2022-01-26,22,4.6999168,50.8745267,51.151527866766436
Calveriekapel,2022-01-26,23,4.6999168,50.8745267,48.3146961949873
Calveriekapel,2022-01-27,0,4.6999168,50.8745267,44.07779782130158
Calveriekapel,2022-01-27,1,4.6999168,50.8745267,41.325688622484016
Calveriekapel,2022-01-27,2,4.6999168,50.8745267,40.165396446817454
Calveriekapel,2022-01-27,3,4.6999168,50.8745267,39.34633666004937
Calveriekapel,2022-01-27,4,4.6999168,50.8745267,39.606142908441306
Calveriekapel,2022-01-27,5,4.6999168,50.8745267,41.38186675941442
Calveriekapel,2022-01-27,6,4.6999168,50.8745267,46.884873909724504
Calveriekapel,2022-01-27,7,4.6999168,50.8745267,51.629938388711224
Calveriekapel,2022-01-27,8,4.6999168,50.8745267,53.394348115775095
Calveriekapel,2022-01-27,9,4.6999168,50.8745267,53.827954597294905
Calveriekapel,2022-01-27,10,4.6999168,50.8745267,54.569782247355434
Calveriekapel,2022-01-27,11,4.6999168,50.8745267,55.388161291561175
Calveriekapel,2022-01-27,12,4.6999168,50.8745267,55.74574666540193
Calveriekapel,2022-01-27,13,4.6999168,50.8745267,55.60462408680512
Calveriekapel,2022-01-27,14,4.6999168,50.8745267,55.48593206511995
